experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 0, 326, 8, 0, 0, 162, 60, 2397, 2410, 5, 3, 1, 72, 16, 14, 0, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 10, 324, 7, 0, 0, 163, 66, 2397, 2410, 5, 3, 1, 69, 23, 10, 1, 374, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 12, 326, 7, 0, 0, 161, 68, 2397, 2410, 4, 3, 1, 69, 23, 8, 4, 375, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 15, 329, 8, 1, 0, 163, 69, 2397, 2410, 5, 3, 1, 68, 22, 0, 13, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 9, 551, 10, 1, 1, 326, 126, 2398, 2410, 4, 3, 1, 66, 21, 0, 13, 381, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 6, 544, 10, 1, 0, 322, 131, 2397, 2410, 4, 3, 1, 60, 30, 6, 4, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 5, 507, 4, 0, 0, 325, 128, 2397, 2410, 6, 3, 1, 34, 67, 0, 6, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 23, 510, 7, 1, 1, 327, 126, 2397, 2410, 4, 3, 1, 32, 65, 0, 6, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 16, 506, 7, 0, 1, 329, 126, 2397, 2410, 6, 3, 1, 29, 69, 2, 3, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 19, 509, 7, 0, 1, 324, 131, 2398, 2410, 5, 3, 1, 30, 68, 0, 6, 375, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 22, 543, 10, 1, 0, 325, 131, 2397, 2410, 5, 3, 1, 57, 34, 2, 6, 375, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 26, 503, 7, 0, 0, 326, 132, 2397, 2410, 5, 3, 1, 25, 75, 0, 4, 377, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 1, 514, 7, 0, 0, 333, 126, 2398, 2410, 5, 3, 1, 32, 65, 0, 6, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 7, 507, 4, 0, 0, 324, 135, 2397, 2410, 5, 3, 1, 31, 73, 0, 4, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 2, 508, 7, 0, 1, 332, 129, 2397, 2410, 7, 3, 1, 26, 73, 1, 3, 385, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 17, 507, 3, 0, 0, 327, 134, 2397, 2410, 5, 3, 1, 30, 75, 0, 3, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 20, 504, 7, 0, 1, 326, 135, 2397, 2410, 5, 3, 1, 22, 78, 0, 3, 378, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 8, 513, 7, 0, 0, 329, 132, 2397, 2410, 6, 3, 1, 30, 68, 3, 1, 376, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 3, 506, 3, 0, 0, 329, 132, 2397, 2410, 4, 3, 1, 28, 76, 0, 3, 377, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 21, 505, 3, 0, 1, 330, 131, 2397, 2410, 4, 3, 1, 28, 77, 0, 3, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 29, 508, 7, 0, 0, 327, 134, 2397, 2410, 5, 3, 1, 26, 74, 0, 4, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 18, 549, 10, 1, 1, 332, 129, 2397, 2410, 5, 3, 1, 59, 33, 1, 6, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 30, 509, 4, 0, 0, 326, 136, 2397, 2410, 4, 3, 1, 31, 73, 0, 3, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 24, 509, 7, 0, 0, 330, 131, 2397, 2410, 6, 3, 1, 26, 74, 0, 3, 374, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 14, 550, 7, 0, 0, 329, 135, 2397, 2410, 5, 3, 1, 61, 35, 0, 8, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 28, 508, 7, 0, 1, 328, 136, 2397, 2410, 5, 3, 1, 24, 77, 0, 3, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 27, 517, 7, 0, 0, 327, 136, 2397, 2410, 5, 3, 1, 30, 68, 0, 6, 378, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 25, 514, 7, 0, 0, 334, 134, 2397, 2410, 5, 3, 1, 25, 75, 0, 3, 378, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 31, 755, 10, 1, 1, 470, 189, 2397, 2410, 6, 3, 1, 63, 27, 0, 9, 374, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 13, 718, 7, 0, 1, 470, 193, 2397, 2410, 4, 3, 1, 31, 68, 0, 5, 374, 1, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 4, 757, 10, 1, 1, 474, 196, 2398, 2410, 5, 3, 1, 58, 36, 0, 4, 377, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"0_0_0_0", 11, 716, 7, 0, 1, 474, 201, 2397, 2410, 4, 3, 1, 20, 81, 0, 1, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 128. 4, 5000,
"1_0_0_0", 17, 1712, 23, 3, 7, 1327, 70, 2580, 2577, 4, 3, 1, 186, 32, 0, 86, 374, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 14, 1722, 23, 3, 8, 1335, 73, 2580, 2577, 4, 3, 1, 187, 34, 25, 58, 376, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 10, 1728, 28, 3, 8, 1340, 71, 2580, 2577, 5, 3, 1, 181, 31, 31, 56, 371, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 25, 1737, 54, 7, 7, 1349, 70, 2580, 2576, 4, 3, 1, 140, 26, 0, 100, 375, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 1, 1745, 53, 6, 7, 1355, 70, 2580, 2576, 4, 3, 1, 145, 26, 0, 98, 374, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 3, 3112, 45, 6, 10, 2673, 140, 2580, 2576, 4, 3, 1, 166, 42, 0, 63, 372, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 6, 3135, 47, 6, 8, 2692, 139, 2580, 2576, 5, 3, 1, 159, 38, 52, 20, 375, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 20, 3136, 48, 7, 8, 2692, 139, 2580, 2576, 5, 3, 1, 159, 38, 9, 62, 373, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 4, 3144, 47, 6, 8, 2697, 134, 2580, 2577, 5, 3, 1, 159, 31, 59, 20, 375, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 15, 3134, 45, 6, 8, 2693, 143, 2580, 2577, 5, 3, 1, 170, 44, 0, 58, 373, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 0, 3149, 48, 7, 16, 2698, 133, 2580, 2577, 4, 3, 1, 152, 31, 83, 0, 372, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 24, 3143, 46, 6, 9, 2700, 141, 2580, 2576, 5, 3, 1, 165, 42, 48, 16, 372, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 11, 3141, 46, 6, 9, 2703, 139, 2580, 2576, 4, 3, 1, 172, 44, 0, 56, 376, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 9, 3166, 68, 10, 8, 2715, 138, 2580, 2576, 4, 3, 1, 132, 29, 0, 83, 372, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 18, 3154, 69, 10, 17, 2710, 136, 2580, 2576, 6, 3, 1, 135, 40, 57, 11, 375, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 30, 3093, 23, 3, 8, 2715, 144, 2580, 2577, 4, 3, 1, 172, 110, 0, 17, 375, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 28, 3092, 46, 6, 9, 2714, 145, 2580, 2576, 5, 3, 1, 146, 110, 0, 16, 370, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 12, 3161, 76, 10, 17, 2713, 139, 2580, 2576, 5, 3, 1, 127, 41, 46, 20, 372, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 8, 3102, 46, 6, 9, 2724, 139, 2580, 2576, 5, 3, 1, 141, 105, 5, 20, 374, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 26, 3101, 23, 3, 9, 2727, 138, 2580, 2577, 5, 3, 1, 170, 111, 0, 19, 374, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 21, 3167, 46, 6, 9, 2725, 140, 2580, 2576, 5, 3, 1, 167, 42, 0, 62, 374, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 22, 3178, 47, 6, 8, 2732, 134, 2580, 2576, 5, 3, 1, 162, 31, 6, 70, 375, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 5, 3172, 48, 6, 9, 2729, 138, 2580, 2576, 5, 3, 1, 159, 38, 0, 72, 370, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 7, 3109, 23, 3, 9, 2728, 144, 2580, 2577, 4, 3, 1, 170, 109, 0, 20, 372, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 27, 3182, 70, 10, 18, 2723, 144, 2580, 2576, 4, 3, 1, 133, 34, 0, 73, 375, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 29, 3110, 46, 6, 9, 2736, 139, 2580, 2576, 4, 3, 1, 144, 109, 0, 19, 370, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 23, 3189, 47, 6, 10, 2744, 138, 2580, 2576, 5, 3, 1, 162, 38, 0, 70, 371, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 2, 4396, 50, 6, 26, 3954, 207, 2580, 2577, 6, 3, 0, 137, 123, 0, 1, 376, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 31, 4501, 70, 10, 13, 3993, 203, 2580, 2576, 5, 3, 1, 135, 36, 0, 65, 373, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 13, 4451, 50, 6, 25, 3994, 204, 2580, 2577, 5, 3, 1, 139, 104, 0, 20, 370, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 16, 4517, 75, 10, 13, 4009, 213, 2580, 2576, 6, 3, 1, 139, 46, 35, 11, 371, 0, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,
"1_0_0_0", 19, 4462, 51, 7, 25, 4002, 213, 2580, 2577, 4, 3, 1, 140, 111, 0, 11, 375, 1, 0, 0, 0, 0 3, 250000, 5, 2. 128. 4, 5000,